# rocket_logger v3.3 rate=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1
t_ms,ax,ay,az,gx,gy,gz,snd
7980,-1348,-1477,-238,12,20,-19,507
7990,-1348,-1488,-250,14,16,-22,515
8000,-1362,-1484,-238,15,22,-23,509
8010,-1350,-1480,-271,19,16,-17,512
8020,-1340,-1494,-248,15,14,-22,507
8030,-1347,-1484,-242,11,20,-20,512
8040,-1344,-1484,-250,9,14,-22,512
8050,-1350,-1484,-260,13,8,-21,512
8060,-1372,-1478,-262,16,22,-20,511
8070,-1344,-1478,-260,15,10,-18,513
8080,-1348,-1491,-251,9,19,-19,518
8090,-1349,-1488,-249,16,20,-14,511
8100,-1353,-1479,-242,18,12,-14,511
8110,-1347,-1470,-236,17,25,-13,508
8120,-1354,-1493,-248,15,17,-18,510
8130,-1347,-1486,-253,8,26,-27,512
8140,-1351,-1492,-262,13,11,-17,505
8150,-1345,-1481,-256,16,27,-15,514
8160,-1345,-1491,-246,18,29,-16,496
8170,-1363,-1485,-233,14,11,-12,500
8180,-1351,-1488,-248,16,13,-14,508
8190,-1359,-1491,-256,16,29,-16,513
8200,-1356,-1498,-246,18,18,-15,498
8210,-1353,-1487,-257,16,9,-21,508
8220,-1359,-1480,-233,18,16,-17,510
8230,-1356,-1486,-255,15,22,-19,516
8240,-1346,-1487,-258,16,19,-16,500
8250,-1352,-1474,-260,14,13,-18,515
8260,-1337,-1480,-247,13,25,-18,491
8270,-1353,-1483,-231,18,22,-17,501
8280,-1354,-1488,-233,17,20,-19,518
8290,-1339,-1484,-239,9,12,-18,513
8300,-1353,-1469,-255,16,21,-17,518
8310,-1367,-1498,-248,13,29,-17,504
8320,-1345,-1483,-233,14,20,-14,511
8330,-1353,-1490,-258,16,14,-16,510
8340,-1362,-1474,-264,15,28,-21,513
8350,-1346,-1480,-248,19,22,-19,513
8360,-1355,-1488,-255,13,25,-16,507
8370,-1366,-1483,-254,15,16,-18,511
8380,-1357,-1492,-258,13,21,-23,510
8390,-1356,-1481,-249,11,20,-17,507
8400,-1343,-1483,-255,12,13,-23,512
8410,-1341,-1477,-240,14,18,-18,505
8420,-1350,-1491,-258,11,11,-17,516
8430,-1347,-1488,-239,14,25,-18,514
8440,-1346,-1477,-236,14,16,-15,508
8450,-1358,-1487,-245,13,14,-24,514
8460,-1352,-1488,-250,14,25,-20,507
8470,-1349,-1476,-261,18,18,-19,510
8480,-1362,-1497,-250,13,17,-22,513
8491,-1344,-1479,-247,17,25,-19,510
8500,-1342,-1485,-252,14,26,-19,509
8510,-1348,-1498,-243,12,13,-23,509
8520,-1351,-1480,-244,18,18,-20,513
8530,-1356,-1495,-262,14,8,-13,508
8540,-1371,-1492,-258,14,20,-22,508
8550,-1352,-1484,-243,16,21,-15,507
8560,-1352,-1490,-239,19,22,-16,510
8570,-1350,-1484,-241,10,28,-17,510
8580,-1350,-1484,-245,9,22,-22,510
8593,-1354,-1484,-243,14,18,-19,510
8600,-1343,-1483,-266,17,20,-13,510
8610,-1352,-1480,-247,11,27,-23,512
8620,-1347,-1484,-243,14,12,-16,503
8630,-1347,-1482,-241,10,19,-17,511
8640,-1361,-1488,-232,16,19,-18,503
8650,-1362,-1486,-247,13,16,-19,516
8660,-1351,-1480,-253,17,5,-19,516
8670,-1354,-1496,-258,9,24,-18,528
8680,-1357,-1477,-251,11,24,-19,520
8690,-1354,-1487,-242,16,18,-19,492
8700,-1360,-1485,-236,11,20,-19,486
