# rocket_logger v3.3 rate=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1
t_ms,ax,ay,az,gx,gy,gz,snd
4955,-1353,-1489,-258,15,21,-19,510
4961,-1365,-1485,-239,16,8,-17,515
4963,-1360,-1480,-252,14,13,-14,511
4965,-1349,-1488,-256,12,11,-16,513
4968,-1341,-1488,-250,13,21,-18,510
4970,-1351,-1490,-260,14,24,-17,508
4973,-1357,-1483,-241,12,17,-16,512
4975,-1347,-1493,-249,9,26,-19,508
4977,-1354,-1488,-248,13,21,-19,511
4980,-1337,-1468,-244,11,27,-21,513
4982,-1345,-1493,-247,14,21,-11,508
4984,-1353,-1487,-240,18,4,-21,514
4987,-1338,-1500,-252,12,23,-14,509
4989,-1350,-1491,-250,10,9,-23,513
4993,-1369,-1490,-251,9,18,-19,509
4999,-1352,-1487,-243,8,25,-19,514
5001,-1332,-1484,-254,12,27,-27,513
5003,-1342,-1479,-259,16,11,-22,510
5006,-1347,-1478,-268,13,27,-14,508
5008,-1367,-1484,-239,16,16,-24,514
5010,-1353,-1476,-250,15,15,-15,510
5013,-1355,-1463,-231,13,18,-16,515
5015,-1347,-1479,-260,13,17,-19,516
5018,-1343,-1476,-242,14,20,-13,514
5020,-1346,-1492,-250,18,29,-19,513
5022,-1354,-1490,-247,12,16,-19,512
5025,-1364,-1486,-255,14,30,-20,511
5027,-1344,-1485,-231,14,13,-24,511
5030,-1351,-1490,-250,13,27,-18,507
5037,-1355,-1477,-254,7,20,-18,517
5039,-1346,-1483,-259,22,24,-18,513
5041,-1355,-1485,-267,11,25,-20,511
5044,-1366,-1489,-264,12,25,-24,508
5046,-1353,-1475,-258,16,23,-15,508
5048,-1364,-1492,-252,12,21,-22,510
5051,-1340,-1489,-255,13,27,-16,511
5053,-1360,-1491,-259,18,27,-11,506
5056,-1363,-1494,-269,10,18,-18,513
5058,-1353,-1478,-241,12,23,-16,510
5060,-1358,-1489,-240,13,15,-11,512
5063,-1342,-1486,-236,11,20,-23,510
5065,-1356,-1491,-249,12,16,-15,513
5067,-1348,-1502,-247,17,25,-15,507
5073,-1350,-1488,-245,12,7,-13,507
5076,-1356,-1491,-256,20,15,-19,508
5079,-1347,-1484,-264,13,19,-23,509
5082,-1347,-1486,-241,17,25,-18,513
5084,-1337,-1484,-258,12,15,-24,509
5086,-1343,-1490,-248,16,11,-19,507
5089,-1358,-1473,-247,7,15,-16,511
5091,-1350,-1485,-243,20,21,-18,507
5093,-1353,-1470,-249,15,9,-20,512
5096,-1358,-1485,-235,5,17,-20,513
5098,-1359,-1482,-251,13,10,-17,512
5101,-1349,-1483,-259,14,12,-12,510
5103,-1349,-1493,-261,10,23,-25,508
5105,-1355,-1485,-230,17,19,-18,510
5111,-1345,-1485,-239,14,19,-20,513
5114,-1355,-1483,-241,12,16,-24,512
5116,-1350,-1487,-258,14,23,-12,506
5118,-1341,-1489,-245,12,21,-21,515
5122,-1365,-1481,-250,11,20,-22,512
5124,-1355,-1486,-250,14,18,-18,517
5127,-1344,-1492,-242,15,23,-20,508
5129,-1359,-1479,-245,8,17,-18,515
5131,-1346,-1492,-240,12,23,-21,512
5134,-1352,-1503,-247,15,27,-22,509
5136,-1345,-1490,-232,14,18,-17,508
5138,-1354,-1487,-243,10,12,-24,509
5141,-1362,-1481,-244,14,28,-15,509
5143,-1346,-1485,-244,11,20,-22,507
5149,-1341,-1483,-253,13,15,-20,514
5152,-1356,-1481,-261,17,16,-25,512
5154,-1355,-1500,-255,14,14,-15,509
5156,-1351,-1494,-269,15,15,-25,509
5159,-1362,-1487,-250,11,21,-16,513
5161,-1359,-1480,-250,9,6,-19,513
5164,-1361,-1490,-249,11,26,-19,515
5167,-1342,-1491,-258,15,20,-19,512
5169,-1354,-1493,-251,17,19,-19,517
5172,-1354,-1493,-239,9,30,-22,516
5174,-1352,-1474,-242,16,13,-11,509
5176,-1353,-1485,-260,14,27,-25,509
5179,-1351,-1474,-264,13,18,-20,505
5181,-1365,-1488,-251,8,14,-20,503
5198,-1356,-1478,-244,15,20,-19,509
5200,-1353,-1484,-246,18,16,-14,509
5203,-1340,-1493,-237,11,24,-25,511
5206,-1350,-1483,-239,12,18,-22,512
5208,-1331,-1488,-252,18,5,-20,520
5211,-1355,-1483,-237,11,21,-19,504
5213,-1371,-1485,-270,8,18,-22,505
5216,-1368,-1494,-245,17,10,-19,513
5218,-1341,-1481,-233,5,23,-17,510
5220,-1361,-1483,-240,16,18,-20,511
5223,-1339,-1478,-268,13,15,-19,510
5225,-1354,-1478,-234,16,18,-20,513
5227,-1356,-1496,-245,15,27,-19,509
5230,-1351,-1486,-242,11,16,-17,518
5236,-1351,-1488,-239,13,7,-16,505
5238,-1332,-1481,-227,16,30,-17,510
5241,-1348,-1487,-252,13,19,-20,511
5243,-1355,-1474,-260,14,17,-20,510
5245,-1364,-1489,-246,9,18,-11,507
5249,-1357,-1477,-258,12,29,-19,508
5251,-1352,-1486,-256,12,24,-15,511
5253,-1337,-1484,-243,12,15,-19,507
5256,-1364,-1492,-247,18,21,-25,514
5258,-1363,-1488,-244,17,20,-19,510
5261,-1354,-1489,-243,13,9,-18,510
5263,-1355,-1476,-226,18,29,-21,513
5265,-1351,-1473,-260,17,19,-17,506
5268,-1346,-1499,-241,14,21,-16,508
5274,-1360,-1489,-255,16,24,-16,516
5276,-1353,-1484,-264,17,19,-24,508
5279,-1368,-1485,-240,13,13,-21,509
5281,-1364,-1482,-238,16,20,-15,509
5283,-1343,-1488,-252,12,18,-18,504
5286,-1340,-1498,-233,14,17,-19,515
5288,-1340,-1481,-241,14,14,-21,510
5291,-1352,-1485,-257,17,13,-15,518
5294,-1361,-1487,-255,12,21,-17,512
5296,-1369,-1488,-254,14,17,-21,502
5299,-1347,-1489,-246,20,15,-18,512
5301,-1349,-1480,-260,12,22,-19,513
5303,-1344,-1474,-252,13,21,-20,506
5306,-1360,-1485,-242,11,18,-22,512
5312,-1358,-1484,-266,13,10,-12,503
5314,-1355,-1471,-245,18,23,-14,506
5317,-1357,-1482,-255,11,16,-19,509
5319,-1351,-1494,-251,16,16,-15,509
5321,-1346,-1487,-260,16,18,-20,511
5324,-1349,-1472,-247,14,19,-13,508
5326,-1360,-1482,-247,8,20,-13,515
5328,-1341,-1479,-245,11,21,-19,509
5331,-1350,-1501,-250,13,21,-22,509
5334,-1344,-1489,-245,15,26,-13,511
5337,-1339,-1487,-255,11,15,-23,510
5339,-1355,-1488,-259,17,23,-14,508
5341,-1348,-1490,-255,17,12,-15,508
