# rocket_logger v3.6 wait=10Hz fly=100Hz accel=16G(2048/G) gyro=2000dps(16.4/dps) sound=A1 boot=6
t_ms,ax,ay,az,gx,gy,gz,snd_min,snd_max
35604,-32768,-1646,7560,328,-890,286,87,761
35614,-32768,-2008,7946,491,-834,825,39,762
35624,-32768,-1712,976,140,212,911,284,761
35634,-32768,173,-6044,-542,4265,1092,149,762
35644,-32768,1752,-1272,-145,6776,1825,24,762
35654,-32768,189,11720,-236,6187,2093,24,762
35664,-32030,2242,392,987,5744,2337,25,762
35674,-25650,-2738,7876,2327,5888,3255,25,762
35684,-10340,-2971,5640,5424,5406,3802,24,762
35694,-43,-3981,2302,7721,4471,4378,24,761
35704,1000,-2626,5059,8487,2461,5199,24,762
35714,2217,-5553,2909,10943,1705,5182,24,762
35724,1137,-3047,5599,12384,699,5231,28,763
35734,1333,-2127,3391,14508,132,4553,24,761
35744,1136,1027,2673,15406,-203,4461,26,762
35755,2483,1732,1802,16189,-324,4499,25,762
35764,2775,1728,2324,16398,-681,4874,24,761
35774,3034,3678,4196,15506,-1333,5681,25,761
35784,4040,1706,3254,15416,-1858,5996,26,762
35794,3141,582,3339,15580,-2609,6115,25,762
35804,2574,1047,1806,15752,-3092,6089,24,762
35814,2719,1207,929,15504,-3342,6259,26,761
35824,4102,1440,922,15610,-3424,6415,24,761
35842,3415,-776,-77,14735,-4488,7392,26,26
35845,2814,-1433,-193,14881,-4698,7514,760,760
35854,2874,-2524,37,14611,-5228,7901,24,762
35864,2307,-5114,-1221,14940,-5739,8163,24,762
35874,2826,-5734,-2136,14869,-5609,8053,24,762
35884,2339,-6904,-119,12278,-4361,5866,23,762
35894,910,-10571,-4573,11088,-4832,3424,24,761
35904,1257,-9560,-5330,10253,-3684,2047,24,761
35914,3240,-6364,-3496,9761,-2475,1557,25,762
35924,2643,-6377,-2053,10315,-2680,1550,24,762
35934,1641,-6013,-88,10144,-2974,1583,24,762
35944,1023,-6092,483,9129,-3180,988,25,761
35954,1223,-6619,-369,8506,-3211,144,24,762
35964,1524,-6441,-1639,8755,-3217,-269,24,761
35974,1792,-5908,-2086,9499,-3177,-300,24,761
35984,1548,-4322,-884,9930,-3146,-354,24,762
35994,1245,-3684,-658,9694,-3249,-503,24,762
36004,1108,-3953,-839,9534,-3317,-635,24,762
36014,1135,-3517,-1523,9266,-3444,-662,24,761
36024,1381,-3725,-1363,9257,-3593,-716,24,761
